Index,Customer Id,First Name,Last Name,Company,City,Country,Phone 1,Phone 2,Email,Subscription Date,Website,January sales,February sales,March sales,April sales,May sales,June sales,July sales,August sales,September sales,October sales,November sales,December sales
15,6fEaA1b7cab7B6C,Faith,Lutz,Carter-Hancock,Burchbury,Singapore,(781)861-7180x8306,207-185-3665,cassieparrish@blevins-chapman.net,1/26/2022,http://stevenson.org/,73,43,9,40,72,31,52,16,61,13,13,72
16,8cad0b4CBceaeec,Miranda,Beasley,Singleton and Sons,Desireeshire,Oman,540.085.3135x185,+1-600-462-6432x21881,vduncan@parks-hardy.com,4/12/2022,http://acosta.org/,2,61,23,5,77,15,84,70,4,90,33,59
17,a5DC21AE3a21eaA,Caroline,Foley,Winters-Mendoza,West Adriennestad,Western Sahara,936.222.4746x9924,001-469-948-6341x359,holtgwendolyn@watson-davenport.com,3/10/2021,http://www.benson-roth.com/,43,47,40,8,25,12,88,92,62,8,82,83
18,F8Aa9d6DfcBeeF8,Greg,Mata,Valentine LLC,Lake Leslie,Mozambique,(701)087-2415,(195)156-1861x26241,jaredjuarez@carroll.org,3/26/2022,http://pitts-cherry.com/,93,81,55,36,17,8,14,70,34,38,90,92
19,F160f5Db3EfE973,Clifford,Jacobson,Simon LLC,Harmonview,South Georgia and the South Sandwich Islands,001-151-330-3524x0469,(748)477-7174,joseph26@jacobson.com,9/24/2020,https://mcconnell.com/,15,75,6,85,80,32,10,26,39,28,42,4
20,0F60FF3DdCd7aB0,Joanna,Kirk,Mays-Mccormick,Jamesshire,French Polynesia,(266)131-7001x711,(283)312-5579x11543,tuckerangie@salazar.net,9/24/2021,https://www.camacho.net/,76,60,1,2,28,87,97,28,85,15,46,75
21,9F9AdB7B8A6f7F2,Maxwell,Frye,Patterson Inc,East Carly,Malta,423.262.3059,202-880-0688x7491,fgibson@drake-webb.com,1/12/2022,http://www.roberts.com/,95,88,83,72,11,63,13,68,11,3,91,53
22,FBd0Ded4F02a742,Kiara,Houston,"Manning, Hester and Arroyo",South Alvin,Netherlands,001-274-040-3582x10611,+1-528-175-0973x4684,blanchardbob@wallace-shannon.com,9/15/2020,https://www.reid-potts.com/,53,40,36,17,49,67,81,55,15,73,75,73
23,2FB0FAA1d429421,Colleen,Howard,Greer and Sons,Brittanyview,Paraguay,1935085151,(947)115-7711x5488,rsingleton@ryan-cherry.com,8/19/2020,http://paul.biz/,82,100,23,44,63,64,75,78,34,41,100,81
24,010468dAA11382c,Janet,Valenzuela,Watts-Donaldson,Veronicamouth,Lao People's Democratic Republic,354.259.5062x7538,500.433.2022,stefanie71@spence.com,9/8/2020,https://moreno.biz/,78,56,61,39,52,81,29,38,72,57,69,37
25,eC1927Ca84E033e,Shane,Wilcox,Tucker LLC,Bryanville,Albania,(429)005-9030x11004,541-116-4501,mariah88@santos.com,4/6/2021,https://www.ramos.com/,64,36,16,5,79,76,53,74,94,37,65,10
26,09D7D7C8Fe09aea,Marcus,Moody,Giles Ltd,Kaitlyntown,Panama,674-677-8623,909-277-5485x566,donnamullins@norris-barrett.org,5/24/2022,https://www.curry.com/,1,70,57,74,44,15,8,31,8,7,48,90
27,aBdfcF2c50b0bfD,Dakota,Poole,Simmons Group,Michealshire,Belarus,(371)987-8576x4720,071-152-1376,stacey67@fields.org,2/20/2022,https://sanford-wilcox.biz/,93,4,95,98,49,32,98,46,91,79,86,72
28,b92EBfdF8a3f0E6,Frederick,Harper,"Hinton, Chaney and Stokes",South Marissatown,Switzerland,+1-077-121-1558x0687,264.742.7149,jacobkhan@bright.biz,5/26/2022,https://callahan.org/,60,27,31,43,33,1,33,12,19,39,37,1
29,3B5dAAFA41AFa22,Stefanie,Fitzpatrick,Santana-Duran,Acevedoville,Saint Vincent and the Grenadines,(752)776-3286,+1-472-021-4814x85074,wterrell@clark.com,7/30/2020,https://meyers.com/,60,65,20,22,51,2,77,41,18,97,16,68
30,EDA69ca7a6e96a2,Kent,Bradshaw,Sawyer PLC,North Harold,Tanzania,+1-472-143-5037x884,126.922.6153,qjimenez@boyd.com,4/26/2020,http://maynard-ho.com/,8,85,58,46,71,86,98,65,4,11,1,20
31,64DCcDFaB9DFd4e,Jack,Tate,"Acosta, Petersen and Morrow",West Samuel,Zimbabwe,965-108-4406x20714,046.906.1442x6784,gfigueroa@boone-zavala.com,9/15/2021,http://www.hawkins-ramsey.com/,67,75,73,44,53,65,90,24,90,92,54,10
32,679c6c83DD872d6,Tom,Trujillo,Mcgee Group,Cunninghamborough,Denmark,416-338-3758,(775)890-7209,tapiagreg@beard.info,1/13/2022,http://www.daniels-klein.com/,76,44,7,65,53,94,51,20,35,56,29,66
33,7Ce381e4Afa4ba9,Gabriel,Mejia,Adkins-Salinas,Port Annatown,Liechtenstein,4077245425,646.044.0696x66800,coleolson@jennings.net,4/24/2021,https://patel-hanson.info/,79,48,43,89,53,12,14,27,85,34,83,96
34,A09AEc6E3bF70eE,Kaitlyn,Santana,Herrera Group,New Kaitlyn,United States of America,6303643286,447-710-6202x07313,georgeross@miles.org,9/21/2021,http://pham.com/,63,56,5,46,46,20,93,50,83,3,87,98
35,aA9BAFfBc3710fe,Faith,Moon,"Waters, Chase and Aguilar",West Marthaburgh,Bahamas,+1-586-217-0359x6317,-2419,willistonya@randolph-baker.com,11/3/2021,https://spencer-charles.info/,61,55,85,76,59,27,83,31,63,69,57,61
36,E11dfb2DB8C9f72,Tammie,Haley,"Palmer, Barnes and Houston",East Teresa,Belize,001-276-734-4113x6087,(430)300-8770,harrisisaiah@jenkins.com,1/4/2022,http://evans-simon.com/,9,57,96,94,25,77,5,100,69,88,91,36
37,889eCf90f68c5Da,Nicholas,Sosa,Jordan Ltd,South Hunter,Uruguay,(661)425-6042,975-998-1519,fwolfe@dorsey.com,8/10/2021,https://www.fleming-richards.com/,51,67,45,36,39,94,42,76,13,81,6,5
38,7a1Ee69F4fF4B4D,Jordan,Gay,Glover and Sons,South Walter,Solomon Islands,7208417020,8035336772,tiffanydavies@harris-mcfarland.org,2/24/2021,http://www.lee.org/,69,40,95,36,28,98,4,72,65,56,42,67
39,dca4f1D0A0fc5c9,Bruce,Esparza,Huerta-Mclean,Poolefurt,Montenegro,559-529-4424,001-625-000-7132x0367,preese@frye-vega.com,10/22/2021,http://www.farley.org/,95,65,74,65,88,44,61,28,5,69,34,28
40,17aD8e2dB3df03D,Sherry,Garza,Anderson Ltd,West John,Poland,001-067-713-6440x158,(978)289-8785x5766,ann48@miller.com,11/1/2021,http://spence.com/,65,93,45,21,23,46,86,31,84,22,50,61
41,2f79Cd309624Abb,Natalie,Gentry,Monroe PLC,West Darius,Dominican Republic,830.996.8238,499.122.5415,tcummings@fitzpatrick-ashley.com,10/10/2020,http://www.dorsey.biz/,44,51,29,16,47,89,7,48,29,56,99,57
42,6e5ad5a5e2bB5Ca,Bryan,Dunn,Kaufman and Sons,North Jimstad,Burkina Faso,001-710-802-5565,078.699.8982x13881,woodwardandres@phelps.com,9/8/2021,http://www.butler.com/,68,91,96,50,98,45,51,2,4,80,78,46
43,7E441b6B228DBcA,Wayne,Simpson,Perkins-Trevino,East Rebekahborough,Bolivia,(344)156-8632x1869,463-445-3702x38463,barbarapittman@holder.com,12/13/2020,https://gillespie-holder.com/,38,23,91,3,9,99,65,21,45,59,22,15
44,D3fC11A9C235Dc6,Luis,Greer,Cross PLC,North Drew,Bulgaria,001-336-025-6849x701,684.698.2911x6092,bstuart@williamson-mcclure.com,5/15/2022,https://fletcher-nielsen.com/,85,51,100,50,3,48,47,98,65,25,94,97
45,30Dfa48fe5Ede78,Rhonda,Frost,"Herrera, Shepherd and Underwood",Lake Lindaburgh,Monaco,(127)081-9339,+1-431-028-3337x3492,zkrueger@wolf-chavez.net,12/6/2021,http://www.khan.com/,72,10,60,80,86,1,63,45,61,4,79,100
46,fD780ED8dbEae7B,Joanne,Montes,"Price, Sexton and Mcdaniel",Gwendolynview,Palau,(897)726-7952,(467)886-9467x5721,juan80@henson.net,7/1/2020,http://ochoa.com/,53,72,48,31,73,80,100,88,94,8,13,27
47,300A40d3ce24bBA,Geoffrey,Guzman,Short-Wiggins,Zimmermanland,Uzbekistan,975.235.8921x269,(983)188-6873,bauercrystal@gay.com,4/23/2020,https://decker-kline.com/,24,14,4,77,45,44,11,42,35,91,15,53
48,283DFCD0Dba40aF,Gloria,Mccall,"Brennan, Acosta and Ramos",North Kerriton,Ghana,445-603-6729,001-395-959-4736x4524,bartlettjenna@zuniga-moss.biz,3/11/2022,http://burgess-frank.com/,36,32,93,95,21,6,10,100,62,82,51,50
49,F4Fc91fEAEad286,Brady,Cohen,Osborne-Erickson,North Eileenville,United Arab Emirates,741.849.0139x524,+1-028-691-7497x0894,mccalltyrone@durham-rose.biz,3/10/2022,http://hammond-barron.com/,38,80,39,70,79,95,64,2,49,38,24,96
50,80F33Fd2AcebF05,Latoya,Mccann,"Hobbs, Garrett and Sanford",Port Sergiofort,Belarus,(530)287-4548x29481,162-234-0249x32790,bobhammond@barry.biz,12/2/2021,https://www.burton.com/,87,42,79,79,50,38,46,7,18,52,58,75
51,Aa20BDe68eAb0e9,Gerald,Hawkins,"Phelps, Forbes and Koch",New Alberttown,Canada,+1-323-239-1456x96168,(092)508-0269,uwarner@steele-arias.com,3/19/2021,https://valenzuela.com/,12,18,61,89,43,83,84,47,64,43,21,49
52,e898eEB1B9FE22b,Samuel,Crawford,"May, Goodwin and Martin",South Jasmine,Algeria,802-242-7457,626.116.9535x8578,xpittman@ritter-carney.net,3/27/2021,https://guerrero.org/,52,9,79,5,4,41,57,68,44,64,95,3
53,faCEF517ae7D8eB,Patricia,Goodwin,"Christian, Winters and Ellis",Cowanfort,Swaziland,322.549.7139x70040,(111)741-4173,vaughanchristy@lara.biz,3/8/2021,http://clark.info/,48,81,6,63,27,72,31,8,98,79,81,14
54,c09952De6Cda8aA,Stacie,Richard,Byrd Inc,New Deborah,Madagascar,001-622-948-3641x24810,001-731-168-2893x8891,clinton85@colon-arias.org,10/15/2020,https://kim.com/,18,49,72,11,68,33,98,58,72,19,53,37
55,f3BEf3Be028166f,Robin,West,"Nixon, Blackwell and Sosa",Wallstown,Ecuador,698.303.4267,001-683-837-7651x525,greenemiranda@zimmerman.com,1/13/2022,https://www.mora.com/,53,71,100,64,17,2,19,67,59,1,10,53
56,C6F2Fc6a7948a4e,Ralph,Haas,Montes PLC,Lake Ellenchester,Palestinian Territory,2239271999,001-962-434-0867x649,goodmancesar@figueroa.biz,5/25/2020,http://may.com/,4,7,92,51,17,88,20,54,86,100,7,52
57,c8FE57cBBdCDcb2,Phyllis,Maldonado,Costa PLC,Lake Whitney,Saint Barthelemy,4500370767,001-508-064-6725x017,yhanson@warner-diaz.org,1/25/2021,http://www.bernard.com/,18,62,48,95,55,16,7,3,46,74,70,74
58,B5acdFC982124F2,Danny,Parrish,Novak LLC,East Jaredbury,United Arab Emirates,(669)384-8597x8794,506.731.5952x571,howelldarren@house-cohen.com,3/17/2021,http://www.parsons-hudson.com/,41,44,52,69,47,83,87,87,72,25,15,40
59,8c7DdF10798bCC3,Kathy,Hill,"Moore, Mccoy and Glass",Selenabury,South Georgia and the South Sandwich Islands,001-171-716-2175x310,888.625.0654,ncamacho@boone-simmons.org,11/15/2020,http://hayden.com/,32,61,46,77,43,39,32,86,38,39,76,51
60,C681dDd0cc422f7,Kelli,Hardy,Petty Ltd,Huangfort,Sao Tome and Principe,020.324.2191x2022,424-157-8216,kristopher62@oliver.com,12/20/2020,http://www.kidd.com/,18,38,15,28,29,53,86,21,99,9,58,63
61,a940cE42e035F28,Lynn,Pham,"Brennan, Camacho and Tapia",East Pennyshire,Portugal,846.468.6834x611,001-248-691-0006,mpham@rios-guzman.com,8/21/2020,https://www.murphy.com/,82,11,81,97,91,22,99,47,83,58,15,15
62,9Cf5E6AFE0aeBfd,Shelley,Harris,"Prince, Malone and Pugh",Port Jasminborough,Togo,423.098.0315x8373,+1-386-458-8944x15194,zachary96@mitchell-bryant.org,12/10/2020,https://www.ryan.com/,15,36,9,6,60,59,5,92,27,58,80,30
63,aEcbe5365BbC67D,Eddie,Jimenez,Caldwell Group,West Kristine,Ethiopia,+1-235-657-1073x6306,(026)401-7353x2417,kristiwhitney@bernard.com,3/24/2022,http://cherry.com/,48,26,46,52,13,49,46,88,48,29,100,21
64,FCBdfCEAe20A8Dc,Chloe,Hutchinson,Simon LLC,South Julia,Netherlands,981-544-9452,+1-288-552-4666x060,leah85@sutton-terrell.com,5/15/2022,https://mitchell.info/,34,2,15,85,29,54,10,68,55,26,64,44
65,636cBF0835E10ff,Eileen,Lynch,"Knight, Abbott and Hubbard",Helenborough,Liberia,+1-158-951-4131x53578,001-673-779-6713x680,levigiles@vincent.com,1/2/2021,http://mckay.com/,39,17,50,74,1,85,48,51,75,80,7,24
66,fF1b6c9E8Fbf1ff,Fernando,Lambert,Church-Banks,Lake Nancy,Lithuania,497.829.9038,3863743398,fisherlinda@schaefer.net,4/23/2021,https://www.vang.com/,46,83,65,80,75,29,97,62,21,6,23,38
67,2A13F74EAa7DA6c,Makayla,Cannon,Henderson Inc,Georgeport,New Caledonia,001-215-801-6392x46009,027-609-6460,scottcurtis@hurley.biz,1/20/2020,http://www.velazquez.net/,20,71,65,79,90,14,77,53,31,64,78,12
68,a014Ec1b9FccC1E,Tom,Alvarado,Donaldson-Dougherty,South Sophiaberg,Kiribati,(585)606-2980x2258,730-797-3594x5614,nicholsonnina@montgomery.info,8/18/2020,http://odom-massey.com/,42,48,83,48,12,21,24,50,89,78,38,31
69,421a109cABDf5fa,Virginia,Dudley,Warren Ltd,Hartbury,French Southern Territories,027.846.3705x14184,+1-439-171-1846x4636,zvalencia@phelps.com,1/31/2021,http://hunter-esparza.com/,25,31,90,59,22,68,40,11,29,21,50,36
70,CC68FD1D3Bbbf22,Riley,Good,Wade PLC,Erikaville,Canada,6977745822,855-436-7641,alex06@galloway.com,2/3/2020,http://conway.org/,50,88,95,4,86,19,84,30,95,9,81,33
71,CBCd2Ac8E3eBDF9,Alexandria,Buck,Keller-Coffey,Nicolasfort,Iran,078-900-4760x76668,414-112-8700x68751,lee48@manning.com,2/20/2021,https://ramsey.org/,76,32,6,77,38,6,64,32,90,99,33,26
72,Ef859092FbEcC07,Richard,Roth,Conway-Mcbride,New Jasmineshire,Morocco,581-440-6539,9857827463,aharper@maddox-townsend.org,2/23/2020,https://www.brooks.com/,90,42,36,83,90,39,33,27,57,56,60,30
73,F560f2d3cDFb618,Candice,Keller,Huynh and Sons,East Summerstad,Zimbabwe,001-927-965-8550x92406,001-243-038-4271x53076,buckleycory@odonnell.net,8/22/2020,https://www.lucero.com/,3,61,77,91,38,47,85,80,100,80,11,92
74,A3F76Be153Df4a3,Anita,Benson,Parrish Ltd,Skinnerport,Russian Federation,874.617.5668x69878,(399)820-6418x0071,angie04@oconnell.com,2/9/2020,http://oconnor.com/,23,18,27,91,94,23,1,60,59,41,58,80
75,D01Af0AF7cBbFeA,Regina,Stein,Guzman-Brown,Raystad,Solomon Islands,001-469-848-0724x4407,001-085-360-4426x00357,zrosario@rojas-hardin.net,1/15/2022,http://www.johnston.info/,72,87,49,40,44,89,33,13,52,28,60,21
76,d40e89dCade7b2F,Debra,Riddle,"Chang, Aguirre and Leblanc",Colinhaven,United States Virgin Islands,+1-768-182-6014x14336,(303)961-4491,shieldskerry@robles.com,7/11/2020,http://kaiser.info/,70,76,80,52,34,30,5,98,99,100,42,22
77,BF6a1f9bd1bf8DE,Brittany,Zuniga,Mason-Hester,West Reginald,Kyrgyz Republic,(050)136-9025,001-480-851-2496x0157,mchandler@cochran-huerta.org,7/24/2021,http://www.boyle.com/,41,65,63,10,22,20,28,17,91,27,45,2
78,FfaeFFbbbf280db,Cassidy,Mcmahon,"Mcguire, Huynh and Hopkins",Lake Sherryborough,Myanmar,5040771311,684-682-0021x1326,katrinalane@fitzgerald.com,10/21/2020,https://hurst.com/,32,86,25,91,57,72,94,73,38,30,5,27
79,CbAE1d1e9a8dCb1,Laurie,Pennington,"Sanchez, Marsh and Hale",Port Katherineville,Dominica,007.155.3406x553,+1-809-862-5566x277,cookejill@powell.com,6/8/2020,http://www.hebert.com/,30,77,11,88,34,57,40,56,96,88,41,50
80,A7F85c1DE4dB87f,Alejandro,Blair,"Combs, Waller and Durham",Thomasland,Iceland,(690)068-4641x51468,555.509.8691x2329,elizabethbarr@ewing.com,9/19/2020,https://mercado-blevins.com/,10,53,12,52,72,59,34,26,91,79,84,88
81,D6CEAfb3BDbaa1A,Leslie,Jennings,Blankenship-Arias,Coreybury,Micronesia,629.198.6346,075.256.0829,corey75@wiggins.com,11/13/2021,https://www.juarez.com/,33,52,86,61,61,69,34,39,32,10,59,79
82,Ebdb6F6F7c90b69,Kathleen,Mckay,"Coffey, Lamb and Johnson",Lake Janiceton,Saint Vincent and the Grenadines,(733)910-9968,(691)247-4128x0665,chloelester@higgins-wilkinson.com,9/12/2021,http://www.owens-mooney.com/,18,23,76,78,9,97,43,25,59,39,79,87
83,E8E7e8Cfe516ef0,Hunter,Moreno,Fitzpatrick-Lawrence,East Clinton,Isle of Man,(733)833-6754,001-761-013-7121,isaac26@benton-finley.com,12/28/2020,http://walls.info/,50,72,40,51,46,67,24,47,61,3,18,42
84,78C06E9b6B3DF20,Chad,Davidson,Garcia-Jimenez,South Joshuashire,Oman,8275702958,(804)842-4715,justinwalters@jimenez.com,11/15/2021,http://www.garner-oliver.com/,27,46,55,46,49,15,13,97,40,61,16,71
85,03A1E62ADdeb31c,Corey,Holt,"Mcdonald, Bird and Ramirez",New Glenda,Fiji,001-439-242-4986x7918,3162708934,maurice46@morgan.com,2/18/2020,http://www.watson.com/,43,79,91,87,59,19,31,25,21,32,56,42
86,C6763c99d0bd16D,Emma,Cunningham,Stephens Inc,North Jillianview,New Zealand,128-059-0206x60217,(312)164-4545x2284,walter83@juarez.org,5/13/2022,http://www.reid.info/,72,15,3,8,88,47,38,18,100,78,93,7
87,ebe77E5Bf9476CE,Duane,Woods,Montoya-Miller,Lyonsberg,Maldives,(636)544-7783x7288,(203)287-1003x5932,kmercer@wagner.com,7/21/2020,http://murray.org/,61,82,42,14,94,26,76,30,61,16,11,30
88,E4Bbcd8AD81fC5f,Alison,Vargas,"Vaughn, Watts and Leach",East Cristinabury,Benin,365-273-8144,053-308-7653x6287,vcantu@norton.com,11/10/2020,http://mason.info/,3,58,80,64,61,52,88,27,28,2,16,64
89,efeb73245CDf1fF,Vernon,Kane,Carter-Strickland,Thomasfurt,Yemen,114-854-1159x555,499-608-4612,hilljesse@barrett.info,4/15/2021,http://www.duffy-hensley.net/,24,54,69,74,29,15,80,18,82,25,41,34
90,37Ec4B395641c1E,Lori,Flowers,Decker-Mcknight,North Joeburgh,Namibia,679.415.1210,945-842-3659x4581,tyrone77@valenzuela.info,1/9/2021,http://www.deleon-crosby.com/,1,18,48,70,95,54,23,9,67,96,54,30
91,5ef6d3eefdD43bE,Nina,Chavez,Byrd-Campbell,Cassidychester,Bhutan,053-344-3205,+1-330-920-5422x571,elliserica@frank.com,3/26/2020,https://www.pugh.com/,40,13,37,57,89,42,56,41,62,59,66,14
92,98b3aeDcC3B9FF3,Shane,Foley,Rocha-Hart,South Dannymouth,Hungary,-1692,001-626-114-5844x55073,nsteele@sparks.com,7/6/2021,https://www.holt-sparks.com/,58,60,15,51,57,56,67,93,24,18,77,22
93,aAb6AFc7AfD0fF3,Collin,Ayers,Lamb-Peterson,South Lonnie,Anguilla,404-645-5351x012,001-257-582-8850x8516,dudleyemily@gonzales.biz,6/29/2021,http://www.ruiz.com/,87,66,50,96,11,29,29,52,2,56,24,12
94,54B5B5Fe9F1B6C5,Sherry,Young,"Lee, Lucero and Johnson",Frankchester,Solomon Islands,158-687-1764,(438)375-6207x003,alan79@gates-mclaughlin.com,4/4/2021,https://travis.net/,30,17,53,74,52,89,34,49,66,31,20,16
95,BE91A0bdcA49Bbc,Darrell,Douglas,"Newton, Petersen and Mathis",Daisyborough,Mali,001-084-845-9524x1777,001-769-564-6303,grayjean@lowery-good.com,2/17/2022,https://banks.biz/,77,46,75,80,63,7,80,95,62,31,18,69
96,cb8E23e48d22Eae,Karl,Greer,Carey LLC,East Richard,Guyana,(188)169-1674x58692,001-841-293-3519x614,hhart@jensen.com,1/30/2022,http://hayes-perez.com/,83,50,34,97,80,46,72,64,55,4,68,93
97,CeD220bdAaCfaDf,Lynn,Atkinson,"Ware, Burns and Oneal",New Bradview,Sri Lanka,-3769,605.413.3198,vkemp@ferrell.com,7/10/2021,https://novak-allison.com/,97,65,5,14,39,95,18,73,49,14,16,27
98,28CDbC0dFe4b1Db,Fred,Guerra,Schmitt-Jones,Ortegaland,Solomon Islands,+1-753-067-8419x7170,+1-632-666-7507x92121,swagner@kane.org,9/18/2021,https://www.ross.com/,82,90,32,67,96,33,48,68,70,92,88,52
99,c23d1D9EE8DEB0A,Yvonne,Farmer,Fitzgerald-Harrell,Lake Elijahview,Aruba,(530)311-9786,001-869-452-0943x12424,mccarthystephen@horn-green.biz,8/11/2021,http://watkins.info/,69,61,1,44,17,52,15,76,28,50,22,10
100,2354a0E336A91A1,Clarence,Haynes,"Le, Nash and Cross",Judymouth,Honduras,(753)813-6941,783.639.1472,colleen91@faulkner.biz,3/11/2020,http://www.hatfield-saunders.net/,53,33,19,17,62,61,31,78,14,37,20,46
